"Index" "SBI" "ICICI" "HDFC"
"2018-09-01" 94 80 114
"2018-09-02" 99 114 107
"2018-09-03" 83 99 71
"2018-09-04" 101 91 95
"2018-09-05" 95 97 85
"2018-09-06" 104 102 105
"2018-09-07" 97 84 95
"2018-09-08" 86 107 109
"2018-09-09" 100 102 104
"2018-09-10" 86 112 100
"2018-09-11" 108 109 99
"2018-09-12" 81 94 96
"2018-09-13" 98 95 101
"2018-09-14" 104 90 88
"2018-09-15" 84 96 106
"2018-09-16" 113 109 96
"2018-09-17" 91 117 92
"2018-09-18" 94 109 96
"2018-09-19" 101 81 118
"2018-09-20" 96 108 82
"2018-09-21" 89 110 96
"2018-09-22" 104 106 101
"2018-09-23" 94 91 94
"2018-09-24" 105 110 95
"2018-09-25" 94 107 103
"2018-09-26" 90 106 102
"2018-09-27" 99 96 93
"2018-09-28" 106 108 105
"2018-09-29" 102 101 101
"2018-09-30" 99 99 106
